name,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,age
Demian Maia,28,11,0,185.42,77.11,182.88,Southpaw,1.8,43.0,2.07,63.0,2.49,24.0,61.0,1.0,47
Phil Caracappa,6,1,0,172.72,61.23,177.8,Orthodox,2.93,50.0,4.07,29.0,1.0,8.0,100.0,1.0,32
Denis Stojnic,13,3,0,182.88,111.13,182.88,Orthodox,1.51,23.0,6.06,36.0,0.0,0.0,80.0,1.0,45
Mike Rio,10,5,0,177.8,70.31,177.8,Orthodox,1.68,39.0,2.99,53.0,2.58,27.0,0.0,1.0,43
Cameron Olson,7,3,0,185.42,92.99,190.5,Orthodox,3.13,47.0,2.2,57.0,3.0,42.0,100.0,1.0,35
Dwight Joseph,5,0,0,167.64,61.23,167.64,Switch,2.6,52.0,2.87,55.0,1.0,20.0,20.0,1.0,35
Alex Chambers,5,5,0,160.02,52.16,160.02,Southpaw,2.97,54.0,5.1,50.0,2.31,41.0,53.0,1.0,46
Magnus Cedenblad,14,5,0,195.58,83.91,200.66,Orthodox,2.38,51.0,3.02,40.0,2.87,64.0,66.0,1.0,42
Danny Sabatello,9,1,0,177.8,61.23,180.34,Orthodox,2.07,57.0,0.2,25.0,3.0,75.0,100.0,1.0,31
Jon Tuck,10,5,0,180.34,70.31,185.42,Orthodox,3.0,40.0,3.74,60.0,0.42,33.0,50.0,1.0,40
Stephan Bonnar,15,9,0,193.04,92.99,200.66,Orthodox,2.76,38.0,3.01,52.0,1.32,40.0,60.0,1.0,47
Ilima Macfarlane,6,0,0,162.56,56.7,162.56,Orthodox,4.13,43.0,2.93,65.0,0.0,0.0,50.0,1.0,38
Eric Spicely,12,6,0,185.42,83.91,185.42,Orthodox,3.71,45.0,5.72,55.0,1.31,20.0,75.0,1.0,38
Chase Gormley,14,6,0,190.5,120.2,190.5,Orthodox,3.6,42.0,6.03,44.0,3.12,42.0,0.0,1.0,38
Paige VanZant,8,5,0,162.56,52.16,165.1,Orthodox,3.35,52.0,2.62,42.0,1.27,33.0,34.0,1.0,30
Bruno Assis,8,4,0,187.96,83.91,187.96,Orthodox,1.27,43.0,3.2,36.0,2.0,50.0,66.0,1.0,32
Alexandre Pantoja,26,5,0,165.1,56.7,170.18,Orthodox,4.41,48.0,3.81,51.0,1.75,44.0,66.0,1.0,34
Krzysztof Soszynski,26,12,1,185.42,92.99,195.58,Open Stance,3.37,39.0,3.13,58.0,0.52,25.0,71.0,1.0,47
Leonardo Guimaraes,11,5,0,182.88,83.91,182.88,Orthodox,2.35,56.0,2.99,44.0,0.0,0.0,52.0,1.0,42
Terrance McKinney,15,6,0,177.8,70.31,185.42,Switch,4.46,52.0,2.51,44.0,3.52,36.0,85.0,1.0,30
Jordan Parsons,11,2,0,175.26,65.77,175.26,Orthodox,3.29,40.0,2.37,60.0,1.54,21.0,50.0,1.0,38
Rodney Wallace,26,15,1,175.26,92.99,182.88,Switch,1.13,46.0,3.44,45.0,6.0,54.0,28.0,1.0,43
Brad Imes,13,7,0,200.66,120.2,200.66,Orthodox,2.73,31.0,4.24,49.0,1.72,71.0,0.0,1.0,48
David Heath,18,7,0,180.34,92.99,182.88,Orthodox,1.48,30.0,5.16,49.0,0.33,50.0,57.0,1.0,49
Alexandr Romanov,17,2,0,187.96,118.84,190.5,Southpaw,4.06,52.0,2.2,50.0,4.32,54.0,20.0,0.9,34
Allan Nascimento,20,6,0,172.72,56.7,175.26,Orthodox,3.21,61.0,2.28,50.0,1.55,26.0,16.0,0.9,33
Eliot Marshall,10,4,0,187.96,92.99,195.58,Orthodox,1.93,27.0,2.39,67.0,0.47,33.0,79.0,0.9,44
Warlley Alves,15,7,0,180.34,83.91,182.88,Orthodox,3.25,48.0,4.21,50.0,1.35,50.0,80.0,0.9,34
Chris Horodecki,21,7,1,175.26,70.31,175.26,Orthodox,4.59,41.0,3.16,65.0,1.52,55.0,37.0,0.9,37
AJ Fletcher,10,3,0,177.8,77.11,170.18,Switch,3.36,49.0,4.61,46.0,1.54,35.0,33.0,0.9,28
Tyson Pedro,10,4,0,190.5,92.99,200.66,Orthodox,3.11,61.0,2.53,54.0,0.94,36.0,52.0,0.9,33
Lerone Murphy,13,0,1,175.26,65.77,185.42,Orthodox,3.65,50.0,2.4,56.0,1.29,46.0,46.0,0.9,33
Tagir Ulanbekov,14,2,0,170.18,56.7,177.8,Southpaw,3.35,44.0,3.29,54.0,3.81,42.0,61.0,0.9,33
Aisling Daly,16,6,0,157.48,52.16,162.56,Orthodox,2.92,52.0,1.4,55.0,2.15,41.0,33.0,0.9,37
JeongYeong Lee,10,1,0,177.8,65.77,185.42,Orthodox,2.39,47.0,1.84,55.0,0.0,0.0,73.0,0.9,29
Seth Dikun,9,8,0,177.8,61.23,175.26,Orthodox,1.45,26.0,2.18,55.0,0.0,0.0,45.0,0.9,44
Ben Askren,19,2,0,180.34,77.11,185.42,Orthodox,3.64,49.0,5.66,36.0,4.33,55.0,0.0,0.9,40
Beneil Dariush,22,6,1,177.8,70.31,182.88,Southpaw,3.78,48.0,2.65,57.0,1.9,34.0,80.0,0.9,35
Luiz Firmino,19,8,0,167.64,69.85,167.64,Orthodox,1.23,50.0,1.22,51.0,3.86,45.0,20.0,0.9,43
Gillian Robertson,12,8,0,165.1,52.16,160.02,Orthodox,2.6,45.0,3.21,55.0,2.46,41.0,43.0,0.9,29
Pete Williams,12,6,0,190.5,106.59,190.5,Orthodox,0.61,62.0,2.77,40.0,1.84,40.0,16.0,0.9,49
Rameau Thierry Sokoudjou,18,18,0,177.8,92.99,198.12,Orthodox,2.26,45.0,2.61,56.0,1.93,47.0,78.0,0.9,40
John Hathaway,17,2,0,185.42,77.11,190.5,Orthodox,3.4,40.0,1.8,62.0,2.61,43.0,60.0,0.9,37
Cristiano Marcello,13,6,0,175.26,70.31,182.88,Orthodox,2.56,33.0,3.61,58.0,0.44,11.0,20.0,0.9,47
Antoni Hardonk,8,6,0,193.04,111.13,198.12,Orthodox,3.4,61.0,3.07,46.0,0.0,0.0,40.0,0.9,49
Matt Serra,11,7,0,167.64,77.11,172.72,Orthodox,1.98,39.0,2.64,46.0,2.05,20.0,38.0,0.9,50
Michael Chandler,23,8,0,172.72,70.31,180.34,Orthodox,4.89,46.0,4.58,46.0,2.17,38.0,71.0,0.9,38
Eric Wisely,26,9,1,172.72,65.77,172.72,Southpaw,1.42,47.0,2.08,56.0,0.0,0.0,27.0,0.9,40
Pascal Krauss,11,2,0,185.42,77.11,185.42,Orthodox,5.45,47.0,3.88,59.0,1.53,50.0,60.0,0.9,37
Alan Belcher,18,8,0,187.96,83.91,190.5,Orthodox,2.7,41.0,3.1,59.0,0.44,26.0,55.0,0.9,40
Tyson Griffin,16,8,0,167.64,65.77,172.72,Orthodox,3.71,41.0,2.3,65.0,1.87,46.0,59.0,0.9,40
Sam Sicilia,15,8,0,172.72,65.77,170.18,Orthodox,2.46,33.0,3.55,59.0,1.45,43.0,70.0,0.9,39
Ryan Gracie,5,2,0,175.26,90.72,175.26,Orthodox,0.82,61.0,0.5,40.0,2.83,75.0,25.0,0.9,50
Damacio Page,19,10,0,167.64,61.23,167.64,Orthodox,2.05,38.0,2.47,51.0,2.63,64.0,23.0,0.9,42
Aleksander Emelianenko,23,7,0,198.12,115.67,198.12,Orthodox,2.75,41.0,1.7,65.0,2.32,72.0,66.0,0.9,43
Samy Schiavo,10,6,0,172.72,70.31,172.72,Orthodox,1.68,34.0,2.62,38.0,0.94,50.0,66.0,0.9,49
Brodie Farber,16,7,0,185.42,77.11,185.42,Orthodox,1.69,45.0,2.17,53.0,0.9,50.0,20.0,0.9,44
Pete Sell,10,7,0,180.34,77.11,190.5,Orthodox,2.6,42.0,3.65,51.0,0.91,21.0,47.0,0.9,42
