name,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,age,strike_differential,win_percentage,weight_class
Harris Sarmiento,36,26,0,175.26,70.31,175.26,Orthodox,0.84,25.0,3.46,36.0,2.36,60.0,57.0,0.0,41,-2.62,0.5806451612903226,Lightweight
Adam Fugitt,9,4,0,185.42,77.11,195.58,Southpaw,4.3,54.0,5.13,48.0,3.43,33.0,50.0,0.0,36,-0.8300000000000001,0.6923076923076923,Welterweight
Eugenio Tadeu,2,3,0,172.72,72.57,172.72,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,0.4,Lightweight
Sean Spencer,12,6,0,177.8,77.11,187.96,Orthodox,4.24,32.0,4.02,60.0,0.14,33.0,68.0,0.0,37,0.22000000000000064,0.6666666666666666,Welterweight
John Clarke,1,1,0,178.23432467873064,77.11,180.70495018353435,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,0.5,Welterweight
John Donaldson,2,2,0,172.72,65.77,172.72,Orthodox,1.21,23.0,4.22,51.0,0.0,0.0,0.0,0.0,38,-3.01,0.5,Featherweight
Kazuhisa Watanabe,0,1,0,167.64,63.05,167.64,Orthodox,0.62,50.0,0.94,0.0,0.0,0.0,14.0,0.0,38,-0.31999999999999995,0.0,Bantamweight
Tateki Matsuda,13,8,0,170.18,56.7,170.18,Orthodox,3.2,34.0,3.43,69.0,0.0,0.0,16.0,0.0,39,-0.22999999999999998,0.6190476190476191,Flyweight
Masaaki Satake,1,8,1,185.42,99.79,185.42,Orthodox,1.4,35.0,3.76,41.0,0.0,0.0,58.0,0.0,59,-2.36,0.1,Light Heavyweight
Luke Zachrich,14,4,0,187.96,83.91,187.96,Orthodox,4.56,32.0,4.46,62.0,0.74,33.0,80.0,0.0,43,0.09999999999999964,0.7777777777777778,Middleweight
Ricky Rainey,12,6,0,185.42,77.11,195.58,Switch,2.55,48.0,2.62,46.0,0.95,18.0,55.0,0.0,41,-0.07000000000000028,0.6666666666666666,Welterweight
Keith Berish,5,1,0,182.88,92.99,182.88,Orthodox,3.58,36.0,4.81,62.0,1.76,40.0,0.0,0.0,39,-1.2299999999999995,0.8333333333333334,Light Heavyweight
Juan Manuel Puig,11,4,0,175.26,65.77,175.26,Orthodox,4.91,23.0,7.17,51.0,0.0,0.0,0.0,0.0,36,-2.26,0.7333333333333333,Featherweight
Roldan Sangcha'an,4,2,0,162.56,56.7,162.56,Orthodox,2.71,46.0,2.15,51.0,1.94,60.0,68.0,0.0,34,0.56,0.6666666666666666,Flyweight
Derrick Mehmen,19,9,0,193.04,92.99,193.04,Orthodox,1.93,14.0,4.53,48.0,1.0,16.0,0.0,0.0,38,-2.6000000000000005,0.6785714285714286,Light Heavyweight
Chris Curtis,30,10,0,177.8,83.91,190.5,Orthodox,5.36,50.0,6.3,54.0,0.0,0.0,92.0,0.0,37,-0.9399999999999995,0.75,Middleweight
Marcus Bossett,1,3,0,185.42,97.52,185.42,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,0.25,Light Heavyweight
Sarah Frota,9,2,0,167.64,56.7,175.26,Southpaw,4.52,52.0,2.57,55.0,0.0,0.0,53.0,0.0,38,1.9499999999999997,0.8181818181818182,Flyweight
Kevin Szaflarski,11,2,0,195.58,117.93,195.58,Orthodox,1.13,28.0,8.07,30.0,0.0,0.0,0.0,0.0,30,-6.94,0.8461538461538461,Light Heavyweight
KB Bhullar,8,2,0,193.04,83.91,198.12,Switch,4.31,49.0,5.39,45.0,0.0,0.0,0.0,0.0,33,-1.08,0.8,Middleweight
Lee Brousseau,5,3,0,185.42,92.99,185.42,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,0.625,Light Heavyweight
Bryce Mejia,3,1,0,185.42,77.11,185.42,Orthodox,3.49,62.0,6.98,50.0,0.0,0.0,0.0,0.0,38,-3.49,0.75,Welterweight
Chris Mickle,30,21,2,175.26,65.77,175.26,Orthodox,3.03,27.0,9.7,48.0,0.0,0.0,0.0,0.0,41,-6.67,0.5660377358490566,Featherweight
Bevon Lewis,7,3,0,190.5,83.91,200.66,Orthodox,3.73,43.0,2.67,54.0,0.0,0.0,66.0,0.0,34,1.06,0.7,Middleweight
Timothy Johnson,12,4,0,190.5,120.2,195.58,Southpaw,3.43,45.0,3.08,44.0,1.09,24.0,69.0,0.0,40,0.3500000000000001,0.75,Light Heavyweight
Angel Pacheco,7,2,0,172.72,65.77,177.8,Orthodox,13.13,40.0,13.6,35.0,0.0,0.0,33.0,0.0,33,-0.46999999999999886,0.7777777777777778,Featherweight
Ailin Perez,9,2,0,165.1,61.23,167.64,Switch,2.96,55.0,1.18,57.0,4.89,50.0,75.0,0.0,30,1.78,0.8181818181818182,Bantamweight
Soichi Nishida,5,10,1,180.34,145.15,180.34,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,0.3125,Heavyweight
Egidijus Valavicius,29,12,0,182.88,90.72,182.88,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,0.7073170731707317,Middleweight
Todd Brown,16,4,0,180.34,92.99,180.34,Orthodox,2.15,45.0,3.85,48.0,0.0,0.0,50.0,0.0,48,-1.7000000000000002,0.8,Light Heavyweight
Michael Lerma,0,1,0,178.23432467873064,77.39582504970178,180.70495018353435,Orthodox,0.0,0.0,6.47,45.0,0.0,0.0,0.0,0.0,38,-6.47,0.0,Welterweight
Cody Canterbury,1,10,0,172.72,70.31,172.72,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,0.09090909090909091,Lightweight
Ricardo Prasel,10,2,0,200.66,107.95,198.12,Orthodox,2.21,57.0,7.83,37.0,0.0,0.0,0.0,0.0,34,-5.62,0.8333333333333334,Light Heavyweight
Chance Farrar,8,3,0,175.26,65.77,175.26,Southpaw,0.81,22.0,2.21,67.0,3.02,100.0,0.0,0.0,49,-1.4,0.7272727272727273,Featherweight
